when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,wind_kt,gust_kt,wind_lat,wind_lon,wind_dist_km
2024-10-02 00,42.0,148.25,991.4,1014.3,22.9,21.8,230.0,2.02,9.463,50.2,132.0,47.3,70.6,41.75,149.25,87.0
2024-10-02 00,54.5,197.0,1007.7,1018.0,10.2,10.1,410.0,0.45,2.463,21.4,28.2,32.2,44.7,51.5,198.75,354.0
2024-10-02 00,35.25,194.25,1013.6,1023.8,10.2,10.0,410.0,0.42,2.433,25.6,39.3,32.3,45.9,35.5,193.0,117.0
2024-10-02 06,45.0,152.25,993.2,1013.5,20.3,19.5,300.0,1.75,6.494,42.7,85.7,43.9,66.3,44.75,153.5,102.0
2024-10-02 06,54.75,226.5,996.2,1019.8,23.6,22.8,320.0,1.1,7.118,44.1,81.3,39.5,53.2,52.75,225.0,243.0
2024-10-02 06,49.0,146.25,998.5,1008.8,10.3,11.3,630.0,1.0,1.799,18.6,22.2,21.4,31.9,45.25,143.75,458.0
2024-10-02 06,54.75,199.75,1007.6,1017.7,10.1,9.9,400.0,0.56,2.486,21.4,28.4,31.8,43.3,50.75,202.5,482.0
2024-10-02 06,34.5,194.25,1015.2,1023.8,8.6,8.5,440.0,0.23,1.934,22.1,31.9,32.7,43.3,36.5,193.75,227.0
2024-10-02 12,48.25,157.0,996.3,1014.5,18.1,18.1,440.0,1.51,4.119,34.0,51.5,41.1,57.9,47.25,158.5,158.0
2024-10-02 12,54.25,229.0,1006.8,1020.8,13.9,13.4,300.0,0.88,4.459,31.3,51.3,32.9,46.7,52.5,227.5,219.0
2024-10-02 12,54.75,202.5,1008.1,1016.9,8.8,8.9,440.0,0.51,2.034,18.5,23.2,31.5,42.4,51.25,206.75,482.0
2024-10-02 12,34.0,196.0,1016.3,1023.4,7.1,7.2,510.0,0.05,1.409,17.9,23.5,30.0,43.1,36.0,192.5,389.0
2024-10-02 18,54.5,157.0,990.2,1008.1,17.9,19.2,590.0,1.15,3.254,28.7,37.3,32.3,47.2,50.75,153.75,471.0
2024-10-02 18,57.25,189.5,1000.0,1011.6,11.6,12.2,520.0,0.85,2.348,21.0,26.1,22.6,31.4,56.0,192.0,207.0
2024-10-02 18,55.0,205.25,1008.1,1016.2,8.1,8.9,600.0,0.55,1.49,14.8,17.0,28.6,39.2,52.0,210.75,493.0
2024-10-02 18,53.25,235.5,1014.6,1020.3,5.7,5.6,150.0,1.27,3.725,22.5,43.4,22.9,36.3,53.0,230.0,368.0
2024-10-02 18,34.75,197.0,1017.0,1023.7,6.6,6.6,470.0,0.1,1.396,17.3,22.9,29.2,40.5,34.75,192.0,457.0
2024-10-03 00,56.25,162.75,979.8,1006.8,27.1,28.2,530.0,1.0,5.324,40.9,59.8,39.8,59.4,53.0,162.75,361.0
2024-10-03 00,57.0,193.5,1001.7,1010.2,8.4,8.7,460.0,0.78,1.889,17.2,21.0,22.3,30.9,55.5,191.5,208.0
2024-10-03 00,55.5,207.0,1007.5,1014.7,7.2,9.4,800.0,0.46,1.177,12.2,13.3,23.2,31.7,51.5,208.0,450.0
2024-10-03 00,34.25,197.5,1017.4,1022.5,5.2,5.1,440.0,0.12,1.155,14.8,19.2,27.0,36.1,35.0,194.25,309.0
2024-10-03 06,57.75,168.5,963.8,1004.1,40.3,41.0,460.0,2.26,8.915,56.9,98.4,48.9,73.5,56.0,165.75,256.0
2024-10-03 06,55.5,206.75,1006.7,1013.2,6.5,8.8,870.0,0.39,1.007,10.6,11.4,18.0,24.4,52.75,210.25,381.0
2024-10-03 12,55.5,217.0,1007.1,1013.6,6.5,6.6,440.0,0.2,1.506,14.3,17.1,22.3,29.1,54.5,222.25,353.0
2024-10-03 12,46.5,220.75,1008.2,1017.3,9.1,9.0,200.0,0.47,4.507,29.0,58.0,29.4,42.6,46.0,222.0,111.0
2024-10-03 12,39.75,144.0,1018.2,1024.3,6.1,5.8,180.0,0.52,3.212,23.3,46.9,28.2,37.5,41.0,144.75,153.0
2024-10-03 18,47.75,223.75,1001.6,1015.2,13.6,13.4,260.0,0.96,5.146,34.3,64.9,30.6,45.2,48.0,225.0,97.0
2024-10-04 00,49.5,226.5,992.2,1011.8,19.6,18.6,250.0,1.59,7.423,42.9,91.1,30.4,46.6,49.75,227.5,77.0
2024-10-04 06,50.5,228.5,987.1,1010.2,23.0,21.7,230.0,1.87,9.448,48.4,114.3,36.7,57.1,50.25,228.0,45.0
2024-10-04 12,51.25,230.5,988.4,1007.8,19.4,18.5,220.0,1.62,8.392,44.0,100.4,36.5,48.1,50.25,230.0,117.0
2024-10-04 18,43.75,147.0,1012.7,1022.3,9.6,9.2,380.0,0.46,2.424,22.8,32.7,27.4,38.5,41.25,142.75,446.0
2024-10-05 00,45.0,149.0,1012.2,1022.8,10.6,10.1,340.0,0.54,2.957,25.5,39.0,25.8,39.4,46.25,149.25,140.0
2024-10-05 06,46.0,152.0,1010.4,1020.9,10.6,10.1,300.0,0.56,3.383,27.0,43.9,29.6,45.9,46.25,150.75,100.0
2024-10-05 12,46.5,155.75,1011.9,1021.9,10.0,9.6,400.0,0.37,2.399,22.3,30.9,24.9,45.8,46.0,160.25,350.0
2024-10-05 18,58.0,195.5,968.5,995.9,27.4,33.5,720.0,1.85,4.653,38.9,51.2,28.3,41.2,54.0,192.0,495.0
2024-10-05 18,47.25,162.0,1011.7,1021.5,9.8,9.3,420.0,0.52,2.212,21.0,28.1,25.7,40.5,46.5,165.25,261.0
2024-10-06 00,57.25,195.5,974.3,998.4,24.1,29.8,730.0,1.56,4.077,35.2,45.2,30.7,38.6,54.0,190.5,478.0
2024-10-06 00,57.75,145.0,1003.8,1020.0,16.1,15.6,360.0,1.04,4.335,31.5,47.8,26.5,38.7,57.5,147.5,151.0
2024-10-06 00,47.0,166.25,1012.6,1021.0,8.5,8.1,390.0,0.35,2.079,19.7,26.5,23.0,40.1,45.0,168.0,260.0
2024-10-06 06,56.0,196.25,978.5,1000.5,22.0,27.5,750.0,1.39,3.672,32.7,41.3,32.1,42.8,52.25,192.25,492.0
2024-10-06 06,53.25,207.5,979.3,1000.2,21.0,24.9,690.0,1.33,3.613,32.5,42.1,31.4,43.1,51.75,207.0,170.0
2024-10-06 06,46.75,165.5,1012.6,1020.6,7.9,7.5,390.0,0.44,1.919,18.5,24.6,24.0,30.9,48.0,167.0,179.0
2024-10-06 12,54.75,207.25,974.9,999.2,24.3,28.1,650.0,1.85,4.32,36.7,49.4,29.9,42.6,53.0,211.5,340.0
2024-10-06 12,54.75,197.5,982.6,1001.9,19.3,25.9,830.0,0.95,3.115,29.3,35.6,32.7,42.6,51.5,192.5,492.0
2024-10-06 12,46.5,165.75,1014.1,1021.3,7.2,6.8,360.0,0.49,1.888,18.1,24.3,22.7,30.8,47.75,166.75,158.0
2024-10-06 18,55.0,208.0,974.1,999.3,25.1,29.7,670.0,1.85,4.434,37.6,50.5,29.6,41.7,58.0,206.0,355.0
2024-10-06 18,46.25,166.75,1014.4,1021.2,6.8,6.4,350.0,0.56,1.831,17.6,23.7,23.2,31.0,46.75,171.75,387.0
2024-10-07 00,55.25,208.5,973.6,999.6,26.0,29.7,640.0,2.1,4.637,38.6,52.7,31.2,43.2,58.0,206.0,342.0
2024-10-07 00,45.0,173.25,1014.5,1021.7,7.2,6.8,360.0,0.51,1.885,18.3,24.9,24.6,32.4,47.0,172.0,242.0
2024-10-07 06,55.0,209.0,977.2,1001.7,24.6,28.2,650.0,1.79,4.344,36.8,49.5,28.4,36.8,53.0,209.25,223.0
2024-10-07 06,41.25,145.75,1008.6,1015.9,7.3,7.2,450.0,0.69,1.591,17.4,22.5,21.9,34.6,41.5,148.0,190.0
2024-10-07 06,44.25,176.25,1014.5,1021.7,7.1,6.7,320.0,0.48,2.097,19.5,28.0,24.5,34.4,45.75,176.0,168.0
