track,hf,onset,n,start,peak_when,peak_lat,peak_lon,min_p,peak_depth,peak_scale_km,peak_grad,peak_vg_kt,max_wind_kt,max_gust_kt,peak_wind_dist_km,pre_depth,pre_scale_km,pre_grad,pre_vg_kt,pre_p,pre_lat,deepen24,month,season
178,1,2020-12-03 00,11,2020-12-01 12,2020-12-03 00,42.25,211.5,984.5,24.9,210.0,11.334,54.1,57.2,81.0,69.0,8.4,240.0,3.377,26.9,998.6,37.75,-14.100000000000023,12,2020
179,0,,5,2020-12-02 06,2020-12-03 06,49.25,185.0,982.6,17.1,550.0,3.339,30.2,34.8,43.8,453.0,7.5,350.0,2.099,19.4,991.0,47.25,-8.399999999999977,12,2020
180,0,,5,2020-12-02 18,2020-12-03 18,50.0,187.5,976.0,26.6,470.0,5.877,44.4,43.3,62.9,142.0,13.1,590.0,2.388,25.0,989.1,43.0,-13.100000000000023,12,2020
181,1,2020-12-04 18,20,2020-12-03 00,2020-12-05 18,47.25,199.25,943.4,48.6,700.0,8.169,64.0,57.6,93.0,321.0,41.4,330.0,12.229,67.6,958.3,41.75,-14.899999999999977,12,2020
182,0,,6,2020-12-03 12,2020-12-04 18,50.5,195.25,978.6,21.8,370.0,5.767,40.7,51.9,63.4,223.0,21.3,280.0,7.333,44.9,980.3,46.5,-1.6999999999999318,12,2020
183,0,,5,2020-12-03 18,2020-12-04 00,46.0,209.5,985.2,20.4,260.0,7.346,43.9,42.5,59.5,68.0,nan,nan,nan,nan,nan,nan,nan,12,2020
184,0,,3,2020-12-04 00,2020-12-04 00,48.25,186.5,974.9,29.5,430.0,6.95,49.2,42.2,61.0,140.0,nan,nan,nan,nan,nan,nan,nan,12,2020
186,0,,4,2020-12-04 06,2020-12-04 12,46.0,164.5,991.5,11.4,210.0,5.37,33.2,39.8,59.0,80.0,nan,nan,nan,nan,nan,nan,nan,12,2020
187,0,,4,2020-12-04 18,2020-12-05 00,45.75,213.0,988.7,16.4,470.0,3.613,31.9,36.5,49.5,86.0,nan,nan,nan,nan,nan,nan,nan,12,2020
190,0,,4,2020-12-06 06,2020-12-06 06,52.25,161.25,1000.7,8.9,410.0,2.227,20.1,32.1,45.7,291.0,nan,nan,nan,nan,nan,nan,nan,12,2020
