track,when,lat,lon,lead_h,hf24,hf48,depth,scale_km,grad,vg_kt,gust_kt,p_centre,up_high_hpa,up_high_rel,down_low_hpa,down_low_rel,thick_anom_m,thick_anom_east_m,thick_m,trough_km,trough_bearing,trough_anom_m,sst_grad,sst_c,hvtl,hvtu
2325,2024-01-27 06,48.75,208.0,nan,0,0,15.8,600.0,2.974,28.1,39.0,974.3,1014.3746970707239,40.12359843791137,988.876345878593,14.625247245780542,117.3466796875,147.09866886789032,5424.6572265625,1990.911690658056,235.86139815095106,-374.765625,2.059103488922119,6.191278076171898,65.31450653076172,-24.633941650390625
2340,2024-01-30 12,41.0,213.5,12.0,1,1,38.0,460.0,8.364,59.8,65.2,963.2,1012.7116475172975,49.46775103292248,989.687246490663,26.44335000628803,120.06591796875,179.67377302208695,5507.23681640625,204.77103243673787,197.92364330157315,-321.21142578125,2.4782650470733643,12.313348388671898,202.3404541015625,-342.0005798339844
2343,2024-02-01 06,50.0,182.5,42.0,0,1,20.6,570.0,4.004,34.9,46.4,984.0,1010.6375765586087,26.641849019546157,997.9241754726783,13.928447933615757,47.20947265625,-35.26793328716482,5336.57666015625,1993.7149240666424,276.23051124841226,-362.43310546875,2.035165548324585,3.9842163085937727,107.51451873779297,-146.98220825195312
2348,2024-02-01 06,45.75,150.75,18.0,1,1,20.8,510.0,4.352,37.5,67.5,987.7,1038.4735576169546,50.74485888648587,992.147524144061,4.418825413592231,-186.123046875,-164.3925392030614,5144.00439453125,259.3072219893507,257.56656216918066,-479.859375,10.298266410827637,1.6215148925781477,-247.6847381591797,-351.2067565917969
2347,2024-02-01 06,57.0,151.5,nan,0,0,14.5,370.0,3.666,28.1,43.7,997.9,1041.4286489854105,43.51794341900427,988.7547690918077,-9.155936474598548,-238.03369140625,-101.80904728546165,4963.388671875,1335.4483707010331,190.50387681126549,-479.859375,5.422757148742676,-1.0862792968749773,-107.00431060791016,-72.31411743164062
2343,2024-02-02 18,57.0,170.0,6.0,1,1,31.8,530.0,6.337,46.4,77.3,966.7,1031.8109343686328,65.08888847019534,973.5822234133702,6.8601775149327295,25.25537109375,46.399783315063715,5237.82470703125,1781.7935035329838,221.84853523415765,-500.53466796875,6.196117401123047,1.4990478515625227,202.59158325195312,-59.54415512084961
2367,2024-02-05 18,42.5,184.0,18.0,1,1,11.1,390.0,2.864,26.4,60.7,989.7,1010.3035144227802,20.581712664967654,1006.5758200318271,16.854018274014607,-0.341796875,83.69152375526154,5372.82080078125,1388.346828792605,280.1771002608954,-451.45458984375,4.393702030181885,10.010675048828148,-460.7612609863281,-237.59573364257812
2379,2024-02-09 06,30.75,154.75,nan,0,0,5.5,440.0,1.229,16.4,34.2,1011.4,1019.9796004430601,8.563951028997622,1016.0567666084843,4.641117194421781,38.79931640625,-0.7467323086821496,5591.2421875,1903.8603003905166,339.68515343015184,-308.7705078125,5.708846569061279,18.196313476562523,-308.1276550292969,-466.7289123535156
2390,2024-02-12 12,42.5,166.25,nan,0,0,28.7,390.0,7.311,51.3,61.3,981.0,1028.1385878803085,47.12357323187098,995.110121005342,14.095106356904466,-69.103515625,-109.88079622846851,5321.84326171875,204.3305463609578,197.5352859877159,-312.40625,6.987542152404785,6.331628417968773,113.98210906982422,-579.5210571289062
2395,2024-02-15 00,50.25,203.0,nan,0,0,15.5,590.0,2.944,27.5,48.0,983.4,1015.9393797903288,32.58745107939126,988.4183949799226,5.066466268985096,152.9873046875,152.32165227908763,5403.2978515625,1511.8741037986483,191.59079375310154,-419.6142578125,1.2578892707824707,5.209405517578148,-108.34754180908203,-204.78372192382812
2415,2024-02-16 18,32.75,155.75,nan,0,0,7.6,270.0,2.621,24.6,49.8,1011.6,1026.0205706776112,14.421754759642454,1015.4411407247183,3.8423248067495024,39.302734375,-57.17650725392442,5571.546875,1946.0223651876797,359.31163332427695,-281.0986328125,4.709079265594482,17.611749267578148,-130.7212371826172,-384.8514099121094
2424,2024-02-20 00,53.0,156.25,nan,0,0,19.7,730.0,3.256,30.2,38.6,985.8,1033.2724889093415,47.50680287418527,976.5928296990071,-9.172856336149152,116.71533203125,-35.8937496755172,5281.66259765625,916.4953737482051,290.61732410758435,-354.3779296875,4.006030082702637,nan,-551.2628784179688,-357.332763671875
2433,2024-02-24 00,29.25,187.75,nan,0,0,12.8,570.0,2.375,29.6,41.0,1006.5,1024.909895816727,18.37351886360193,1011.7089580907694,5.172581137644443,54.75927734375,8.271421160939544,5644.2099609375,389.9626923792723,183.56612640540115,-70.7431640625,3.6323816776275635,18.648828125000023,87.02124786376953,-147.51693725585938
2444,2024-02-26 06,33.0,147.0,18.0,1,1,25.1,530.0,4.994,47.2,57.3,988.8,1031.0307618922734,42.262939626648404,1004.6797671103905,15.911944844765458,66.55517578125,30.138471399319986,5599.59423828125,860.5112254974522,307.0587678036125,-241.9609375,8.700889587402344,18.466119384765648,101.45978546142578,-487.5259094238281
