track,hf,when,lat,lon,p_centre,p_env,depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,wind_kt,gust_kt,wind_dist_km
389,1,2021-11-20 12,36.25,162.75,997.2,1013.7,16.5,300.0,1.52,5.241,39.3,82.7,38.0,55.5,105.0
387,0,2021-11-20 18,54.0,208.25,973.5,1010.6,37.1,530.0,2.62,7.487,53.3,86.4,42.8,57.2,210.0
388,0,2021-11-20 18,50.5,158.5,982.3,1015.3,33.0,600.0,1.54,6.005,47.9,72.6,39.9,58.3,418.0
389,1,2021-11-20 18,36.5,164.5,991.6,1012.1,20.5,340.0,1.75,5.829,43.9,91.5,37.8,51.8,87.0
386,0,2021-11-20 18,49.0,187.75,993.6,1012.6,19.0,510.0,1.16,3.805,33.0,47.1,37.2,53.4,191.0
387,0,2021-11-21 00,54.5,209.5,973.2,1010.0,36.8,480.0,2.97,7.946,53.9,91.1,41.9,60.1,195.0
388,0,2021-11-21 00,51.0,158.5,985.1,1015.1,30.0,620.0,1.55,5.381,44.3,64.6,39.2,54.5,483.0
389,1,2021-11-21 00,37.75,168.0,987.6,1011.9,24.2,380.0,1.93,6.25,47.3,95.3,45.8,62.1,92.0
386,0,2021-11-21 00,48.0,190.75,996.8,1012.6,15.8,510.0,0.95,3.114,28.5,39.1,33.1,47.8,192.0
387,0,2021-11-21 06,55.25,213.5,976.9,1012.0,35.1,530.0,2.06,6.937,50.1,78.8,46.2,67.8,195.0
389,1,2021-11-21 06,38.5,171.75,981.0,1010.9,29.9,380.0,1.8,7.746,54.2,116.1,49.8,69.5,155.0
388,0,2021-11-21 06,51.0,158.25,987.4,1014.5,27.0,670.0,1.36,4.68,40.5,56.2,36.0,49.1,420.0
389,1,2021-11-21 12,39.0,175.75,978.0,1011.2,33.3,420.0,1.52,7.907,56.7,117.3,52.7,78.6,151.0
387,0,2021-11-21 12,57.0,218.0,981.6,1013.5,31.9,530.0,1.42,6.3,46.2,70.1,42.1,57.0,184.0
388,0,2021-11-21 12,50.25,159.0,991.8,1014.1,22.3,720.0,1.14,3.768,34.8,45.7,35.9,49.5,402.0
389,1,2021-11-21 18,40.0,179.25,974.1,1010.8,36.8,420.0,1.71,8.7,59.9,126.3,50.4,73.8,223.0
388,0,2021-11-21 18,50.0,161.25,992.6,1013.3,20.7,730.0,1.05,3.498,32.9,42.6,33.9,47.8,445.0
389,1,2021-11-22 00,41.25,181.5,970.3,1010.1,39.8,400.0,2.36,9.887,63.6,140.0,50.0,70.5,168.0
390,1,2021-11-22 00,48.25,221.5,994.9,1013.0,18.1,460.0,0.94,3.925,33.1,49.1,37.1,56.8,93.0
388,0,2021-11-22 00,49.75,163.0,995.4,1014.1,18.6,720.0,0.98,3.151,30.2,38.5,32.9,46.6,490.0
