label,id,when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,max_step_km,season,month,stratum
0,pool_2023010918_54_206,2023-01-09 18,54.25,205.75,972.8,996.5,23.7,23.8,420.0,1.42,5.655,40.7,65.0,0.0,2022,1,s0110
0,pool_2023011412_52_180,2023-01-14 12,51.75,180.5,969.0,987.2,18.2,24.9,810.0,1.2,3.073,29.6,36.5,0.0,2022,1,s0110
1,2022202324,2023-01-07 18,36.5,155.0,1004.7,1013.7,9.0,9.1,470.0,0.23,1.927,21.8,30.2,425.0,2022,1,s0111
1,2022202325,2023-01-10 00,39.25,154.75,998.5,1012.9,14.4,15.6,590.0,1.03,2.636,28.2,38.9,358.0,2022,1,s0112
0,pool_2023010518_44_213,2023-01-05 18,44.25,213.0,979.1,996.1,17.1,18.7,580.0,1.23,3.226,31.2,43.2,0.0,2022,1,s0112
0,pool_2023012518_35_201,2023-01-25 18,35.0,200.75,1001.8,1020.4,18.6,19.0,490.0,1.54,3.873,37.7,63.0,0.0,2022,1,s0112
0,pool_2023010912_44_218,2023-01-09 12,44.0,217.75,976.8,993.4,16.6,18.5,560.0,2.03,3.31,31.6,44.5,0.0,2022,1,s0112
1,2022202326,2023-01-16 12,38.0,155.25,990.2,1013.1,22.8,23.1,480.0,1.7,4.82,42.5,73.1,448.0,2022,1,s0113
0,pool_2023012600_36_202,2023-01-26 00,35.5,202.0,1000.9,1020.1,19.3,20.1,530.0,1.31,3.792,37.8,60.9,0.0,2022,1,s0113
0,pool_2023012300_40_173,2023-01-23 00,40.0,173.0,979.8,1005.1,25.3,24.3,340.0,1.78,7.155,49.0,103.9,0.0,2022,1,s0113
0,pool_2023012812_41_199,2023-01-28 12,41.0,199.0,1000.7,1022.2,21.5,23.1,560.0,1.84,4.117,38.5,58.6,0.0,2022,1,s0113
