label,id,when,lat,lon,p_centre,p_env,depth,fit_depth,scale_km,fit_rms,grad_hpa_per_100km,vg_kt,vgeo_kt,max_step_km,season,month,stratum
1,2023202413,2023-12-02 00,39.0,161.25,1004.5,1013.1,8.6,8.7,530.0,0.34,1.65,19.0,24.5,548.0,2023,12,
1,2023202414,2023-12-05 12,29.75,138.0,1003.4,1015.9,12.5,12.5,420.0,0.66,2.987,31.9,56.2,524.0,2023,12,
1,2023202415,2023-12-13 00,48.0,160.0,990.5,1014.1,23.6,25.3,570.0,1.16,4.437,38.4,55.7,306.0,2023,12,
1,2023202416,2023-12-16 18,44.25,144.75,989.2,1010.8,21.7,25.1,670.0,0.59,3.743,36.1,50.1,541.0,2023,12,
1,2023202417,2023-12-20 12,39.75,159.75,1000.8,1014.7,13.9,13.9,440.0,0.8,3.151,30.0,46.0,452.0,2023,12,
1,2023202418,2023-12-23 00,51.0,200.25,966.0,994.7,28.6,40.7,880.0,0.61,4.623,42.4,55.5,540.0,2023,12,
1,2023202419,2023-12-24 18,43.75,210.0,976.5,1000.3,23.7,25.6,570.0,1.86,4.484,40.1,60.5,537.0,2023,12,
1,2023202420,2023-12-25 00,47.5,190.0,994.5,997.1,2.6,5.9,1200.0,0.82,0.493,6.0,6.2,534.0,2023,12,
1,2023202421,2023-12-26 06,40.5,174.25,1001.6,1015.8,14.2,14.0,460.0,0.47,3.042,29.3,43.7,530.0,2023,12,
1,2023202422,2023-12-26 06,49.5,149.25,1001.7,1013.7,12.0,11.9,250.0,1.32,4.741,31.7,58.2,550.0,2023,12,
1,2023202423,2023-12-30 12,35.75,184.0,990.0,1011.3,21.3,20.7,380.0,1.81,5.44,43.8,86.9,549.0,2023,12,
1,2023202424,2024-01-01 06,42.75,171.0,974.4,1001.6,27.2,27.1,390.0,2.1,6.955,49.5,95.6,465.0,2023,1,
1,2023202425,2024-01-03 18,38.5,143.5,1003.8,1014.5,10.8,10.5,370.0,1.09,2.848,27.0,42.7,541.0,2023,1,
1,2023202426,2024-01-08 00,36.5,153.25,996.0,1009.1,13.1,14.3,560.0,1.63,2.556,28.2,40.1,503.0,2023,1,
1,2023202427,2024-01-08 06,49.25,225.0,1010.2,1015.9,5.7,6.1,640.0,0.29,0.946,10.5,11.6,548.0,2023,1,
1,2023202428,2024-01-11 06,32.75,160.5,1000.9,1009.4,8.5,9.2,620.0,0.16,1.478,19.7,25.5,545.0,2023,1,
1,2023202429,2024-01-13 18,37.75,198.0,999.2,1011.6,12.4,12.1,400.0,0.77,3.036,29.1,46.3,245.0,2023,1,
1,2023202430,2024-01-14 18,47.5,174.75,986.5,1002.7,16.2,17.1,540.0,1.2,3.174,29.4,40.2,549.0,2023,1,
1,2023202431,2024-01-16 06,35.75,161.0,1001.4,1008.2,6.7,6.9,540.0,0.31,1.28,16.3,20.5,536.0,2023,1,
1,2023202432,2024-01-30 00,38.5,210.5,973.3,998.0,24.6,25.0,450.0,2.04,5.545,45.8,83.1,310.0,2023,1,
1,2023202433,2024-02-01 00,46.5,145.75,994.9,1014.4,19.6,19.8,410.0,1.7,4.836,38.0,62.2,394.0,2023,2,
